word,count
rock,59
pop,58
vocalist,34
guitar,29
style,26
male,26
hip-hop,24
female,20
electronic,19
soul,17
heavy,17
rap,17
house,16
jazz,15
melodic,15
country,14
piano,13
love,13
metal,13
r&b,12
funk,12
drum,11
bass,11
alternative,11
old,11
blue,11
dance,11
vocal,10
indie,10
synth,10
dark,9
energetic,9
sing,9
acoustic,8
deep,8
name,8
upbeat,8
ambient,8
electro,8
instrumental,7
passionate,7
voice,7
punk,7
singer,7
epic,7
slow,6
contemporary,6
beat,6
school,6
catchy,6
solo,6
synthesizer,6
doom,6
life,6
rhythmic,5
electric,5
work,5
fast,5
hard,5
coast,5
write,5
summer,5
beautiful,5
theme,5
classic,5
modern,5
folk,5
big,5
sad,4
band,4
doo,4
cat,4
day,4
eat,4
set,4
90,4
good,4
synthwave,4
man,4
new,4
girl,4
friend,4
amazing,4
post,4
anime,4
progressive,4
traditional,4
create,4
lyric,4
black,4
game,4
trap,4
film,4
melancholic,3
lose,3
anthemic,3
uplifting,3
playful,3
boy,3
call,3
album,3
east,3
west,3
world,3
time,3
japanese,3
saxophone,3
serene,3
standard,3
jingle,3
bittersweet,3
humanity,3
end,3
way,3
electropop,3
80,3
club,3
analog,3
compose,3
find,3
fun,3
inspire,3
piece,3
classical,3
talk,3
gospel,3
drink,3
ethereal,3
symphony,3
emotional,3
techno,3
60,3
hit,3
italian,3
chill,3
sunset,3
culture,3
psychedelic,3
2024,3
light,2
downtempo,2
70,2
bpm,2
smooth,2
americana,2
baroque,2
power,2
artificial,2
intelligence,2
russian,2
accent,2
scream,2
grime,2
pace,2
aggressive,2
duck,2
nu,2
bird,2
warm,2
intro,2
playboi,2
carti,2
little,2
home,2
chicken,2
bad,2
playstation,2
songwriter,2
lead,2
tech,2
trance,2
percussion,2
bossa,2
nova,2
2019,2
party,2
morning,2
smell,2
keyboard,2
funky,2
orchestral,2
hope,2
future,2
uptempo,2
leave,2
bake,2
musical,2
1980s,2
duet,2
bop,2
technical,2
service,2
elvis,2
glitch,2
rnb,2
hall,2
human,2
train,2
ballad,2
euro,2
2000s,2
soundtrack,2
night,2
daily,2
hiphop,2
drill,2
german,2
element,2
need,2
form,2
proper,2
sentence,2
g,2
wrong,2
bright,2
right,2
age,2
tame,2
impala,2
10s,2
korean,2
idol,2
agi,2
soon,2
inkorean,2
emo,2
motown,2
southern,2
fi,2
space,2
viennese,2
having,2
tipp,2
well,2
e.g.,2
schnap,2
coffee,2
board,2
mix,2
high,2
jungle,2
total,2
eclipse,2
swing,2
easy,2
anton,2
bruckner,2
8th,2
bike,2
billie,2
shop,2
houston,2
festival,2
melody,2
eminem,2
van,2
rid,2
bouncy,2
bombastic,2
feel,2
tune,2
tv,2
speed,2
reggaeton,2
signature,2
rave,2
opening,2
uplift,2
wave,2
go,2
art,2
happy,2
alf,2
49,2
year,2
score,2
rich,2
ai,2
vibe,2
counter,2
carpet,2
american,2
death,2
angry,2
pickle,2
computer,2
depressed,1
strong,1
key,1
amy,1
winehouse,1
bluegrass,1
lush,1
dreamy,1
romantic,1
cello,1
chillout,1
couple,1
opera,1
freelancer,1
project,1
freelancer.com,1
add,1
incoherently,1
5,1
minute,1
derrick,1
urban,1
gritty,1
raw,1
intense,1
dynamic,1
rubber,1
bath,1
distorted,1
town,1
jimmy,1
buffet,1
tropical,1
lili,1
boomer,1
enjoy,1
tradewind,1
listen,1
concept,1
green,1
melomandiz,1
beats,1
rage,1
phonk,1
mad,1
808,1
hardcore,1
gangsta,1
loss,1
north,1
england,1
beatle,1
kitten,1
rookie,1
coco,1
programmer,1
emmanuel,1
disillusioned,1
corporate,1
baker,1
comedic,1
sombre,1
tone,1
lot,1
sausage,1
come,1
long,1
stick,1
fish,1
oil,1
carrie,1
sick,1
cough,1
play,1
french,1
south,1
ballade,1
war,1
protest,1
seventie,1
manicure,1
chorus,1
fried,1
food,1
planet,1
mixer,1
boss,1
bx,1
8,1
4/4,1
140,1
bmp,1
mandolin,1
foggy,1
autumn,1
forest,1
wet,1
wood,1
soil,1
young,1
move,1
past,1
diva,1
motivating,1
include,1
4,1
middle,1
aged,1
get,1
york,1
city,1
cinematic,1
robot,1
nigeria,1
artist,1
2020,1
feeling,1
park,1
hiroshima,1
okonomiyaki,1
thing,1
hiroshimayaki,1
gogeta,1
vs,1
broly,1
english,1
influence,1
alt,1
tesla,1
departure,1
shake,1
fusion,1
archtop,1
story,1
preslley,1
electronica,1
alienapi,1
whispering,1
message,1
host,1
brain,1
spaghetti,1
western,1
twang,1
dwayne,1
eddie,1
sound,1
background,1
squawk,1
wind,1
blo,1
eurobeat,1
hear,1
initial,1
d,1
poor,1
try,1
benefit,1
technology,1
africa,1
grunge,1
80bpm,1
production,1
rick,1
rubin,1
j,1
4th,1
disciple,1
wu,1
tang,1
stoupe,1
jedi,1
mind,1
trick,1
line,1
vacation,1
head,1
start,1
morph,1
uk,1
jersey,1
sample,1
minimoog,1
voyager,1
sampling,1
lay,1
title,1
air,1
bonobo,1
rhyme,1
prevention,1
ringworm,1
forgive,1
nice,1
sentimental,1
lonsborough,1
motor,1
528hz,1
healing,1
frequency,1
enlightenment,1
awakening,1
sunrise,1
meditative,1
hip,1
bear,1
swimming,1
water,1
canoe,1
trip,1
nicholas,1
roerich,1
painting,1
locrian,1
mode,1
quartet,1
somber,1
pensive,1
awake,1
perspective,1
elon,1
musk,1
getting,1
dump,1
saxaphone,1
wonder,1
sci,1
movie,1
pirate,1
vilde,1
demon,1
money,1
woman,1
